food_id,food_name,calories,carbohydrate,cholesterol,fat,fiber,iron,protein,sugar
1,Apple Pie,411.0,57.5,0.0,19.38,0.0,1.74,3.72,0.0
2,Baby Back Ribs,210.0,4.0,55.0,15.0,0.0,0.0,17.0,3.0
3,Baklava,160.0,17.0,0.0,9.0,0.0,0.5,2.0,6.0
4,Beef Carpaccio,119.0,0.0,36.0,2.62,0.0,1.92,22.31,0.0
5,Beef Tartare,470.0,1.41,235.0,32.61,0.2,4.61,39.83,0.52
6,Beet Salad,130.0,17.0,5.0,5.0,0.0,0.0,5.0,0.0
7,Beignets,110.0,12.0,10.0,7.0,0.0,3.0,2.0,0.0
8,Bibimbap,340.0,56.0,25.0,6.0,3.0,0.0,13.0,18.0
9,Bread Pudding,306.0,46.52,124.0,9.48,1.8,2.4,10.54,29.44
10,Breakfast Burrito,305.0,17.96,267.0,18.57,1.2,2.23,16.19,2.63
11,Caesar Salad,184.0,7.04,43.0,15.3,1.6,1.35,5.43,1.38
12,Cannoli,216.0,24.52,32.0,9.39,0.6,1.11,7.4,9.31
13,Caprese Salad,280.0,10.0,0.0,20.0,4.0,0.0,19.0,0.0
14,Carrot Cake,326.0,42.37,48.0,16.7,0.9,1.03,3.09,31.3
15,Cheese Plate,430.0,49.0,65.0,19.0,5.0,0.0,17.0,26.0
16,Cheesecake,257.0,20.4,44.0,18.0,0.3,0.5,4.4,0.0
17,Chicken Quesadilla,563.0,37.06,94.0,31.54,2.4,3.26,31.56,1.86
18,Chicken Wings,81.0,0.0,23.0,5.4,0.0,0.35,7.46,0.0
19,Chocolate Cake,235.0,34.94,27.0,10.5,1.8,1.41,2.62,0.0
20,Chocolate Mousse,355.0,27.37,235.0,25.69,1.0,0.92,7.07,24.96
21,Churros,116.0,11.94,2.0,7.35,0.2,0.32,0.73,6.55
22,Clam Chowder,163.0,19.01,17.0,5.83,2.0,2.05,8.83,5.47
23,Club Sandwich,549.0,49.0,71.0,24.48,3.0,4.58,31.02,5.41
24,Crab Cakes,106.0,0.42,95.0,5.03,0.1,0.73,14.0,0.18
25,Creme Brulee,404.0,26.29,285.0,32.15,0.0,0.43,4.06,23.85
26,Croque Madame,890.0,76.0,335.0,40.0,3.0,0.0,51.0,6.0
27,Cup Cakes,131.0,28.9,0.0,1.59,1.8,0.66,1.85,0.0
28,Deviled Eggs,62.0,0.42,121.0,5.03,0.0,0.35,3.59,0.33
29,Donuts,192.0,22.86,14.0,10.3,0.7,0.48,2.34,0.0
30,Dumplings,41.0,3.54,18.0,0.98,0.2,0.51,4.27,0.21
31,Edamame,76.0,6.14,0.0,4.18,0.8,1.23,7.96,0.4
32,Eggs Benedict,660.0,61.0,495.0,31.0,4.0,0.0,34.0,21.0
33,Escargots,190.0,3.0,115.0,17.0,1.0,0.0,4.0,3.0
34,Falafel,57.0,5.41,0.0,3.03,0.0,0.58,2.26,0.0
35,Filet Mignon,250.0,0.0,115.0,11.0,0.0,0.0,35.0,0.0
36,Foie Gras,250.0,2.0,210.0,24.0,1.0,0.0,6.0,1.0
37,French Fries,156.0,20.33,0.0,8.01,1.9,0.69,1.98,0.33
38,French Toast,159.0,20.02,90.0,6.13,0.8,1.62,5.58,4.87
39,Fried Calamari,12.0,0.96,21.0,0.21,0.0,0.11,1.47,0.06
40,Fried Rice,333.0,41.7,103.0,12.34,1.4,2.75,12.47,1.5
